year	Jan			Feb		Mar		Q1			Apr		May			Jun		Q2			Jul		Aug		Sep		Q3			Oct		Nov		Dec		Q4			Total
2018	626			539		1,160	2,325		775		809			491		2,075		961		1,248	NA		2,209		NA		NA		NA		NA			6,609
2017	525			546		639		1,710		450		570			635		1,656		737		708		828		2,273		895		651		782		2,327		7,966
2016	203			570		758		1,531		781		754			789		2,324		560		487		508		1,556		727		779		477		1,983		7,394
2015	301			466		623		1,390		785		896			938		2,619		857		671		435		1,962		689		435		477		1,600		7,572
2014	691			662		793		2,146		889		644			801		2,335		706		696		641		2,043		378		418		725		1,522		8,045
2018	875,710		835,487	887,093	2,598,290	886,664	998,492		867,427	2,752,583	953,709	894,495	NA		1,848,204	NA		NA		NA		NA			7,199,077
2017	848,217		837,063	971,044	2,656,324	808,934	1,029,832	920,192	2,758,958	835,774	908,539	897,241	2,641,554	900,097	910,932	738,191	2,549,221	10,606,056
2016	788,484		850,755	957,557	2,596,797	847,570	915,754		890,370	2,653,695	749,078	931,343	815,962	2,496,384	795,253	811,086	773,624	2,379,963	10,126,837
2015	772,765		818,554	946,356	2,537,676	886,909	911,054		848,876	2,646,839	832,566	842,433	910,572	2,585,571	833,261	794,203	807,809	2,435,273	10,205,359
2014	807,093		797,134	843,222	2,447,449	904,920	901,380		882,944	2,689,244	866,594	808,114	866,814	2,541,522	855,581	704,918	863,406	2,423,905	10,102,121
2018	4,536		5,905	4,618	15,059		5,292	6,584		7,242	19,117		5,485	6,333	NA		11,818		NA		NA		NA		NA			45,994
2017	4,344		3,560	4,356	12,260		3,703	3,678		3,881	11,261		3,813	3,663	3,791	11,268		3,958	4,146	3,803	11,907		46,696
2016	2,215		2,870	3,470	8,555		2,865	4,264		4,516	11,644		3,924	4,930	4,423	13,277		5,369	4,182	4,056	13,607		47,082
2015	1,733		2,622	4,170	8,525		3,496	3,419		3,618	10,533		3,972	3,495	4,672	12,140		3,543	3,067	2,362	8,972		40,169
2014	3,039		2,561	3,602	9,202		3,807	3,407		3,571	10,785		4,903	3,742	3,360	12,004		3,413	3,259	2,590	9,262		41,253
2018	23,618		20,898	26,216	70,732		24,644	26,503		20,563	71,711		22,645	21,544	NA		44,189		NA		NA		NA		NA			186,631
2017	24,468		23,146	21,821	69,435		20,127	24,859		22,227	67,213		19,973	24,890	22,438	67,302		21,625	22,709	19,389	63,723		267,673
2016	19,189		19,855	24,044	63,088		22,190	26,192		24,759	73,141		19,227	22,122	21,267	62,617		20,392	18,044	20,757	59,192		258,038
2015	15,626		20,457	21,651	57,733		20,603	21,097		19,841	61,540		20,932	19,274	18,728	58,934		20,381	21,485	17,802	59,667		237,875
2014	13,245		17,317	21,275	51,837		19,171	21,633		22,394	63,198		20,661	19,838	19,154	59,653		18,930	19,833	21,862	60,624		235,312
																			
